GENDER,AGE,Do you invest in Investment Avenues?,What do you think are the best options for investing your money? (Rank in order of preference) [Mutual Funds],Reasons for investing in Government Bonds,Your sources of information for investments is 
Female,34,Yes,1,Safe Investment,Newspapers and Magazines
Female,23,Yes,4,Safe Investment,Financial Consultants
Male,30,Yes,3,Assured Returns,Television
Male,22,Yes,2,Tax Incentives,Internet
Female,24,No,2,Safe Investment,Internet
Female,24,No,7,Safe Investment,Internet
Female,27,Yes,3,Assured Returns,Financial Consultants
Male,21,Yes,2,Assured Returns,Newspapers and Magazines
Male,35,Yes,2,Safe Investment,Television
Male,31,Yes,1,Assured Returns,Newspapers and Magazines
Female,35,Yes,2,Assured Returns,Financial Consultants
Male,29,Yes,2,Assured Returns,Financial Consultants
Female,21,No,1,Safe Investment,Internet
Female,28,Yes,2,Assured Returns,Newspapers and Magazines
Female,25,Yes,2,Assured Returns,Financial Consultants
Male,27,Yes,2,Assured Returns,Newspapers and Magazines
Female,28,Yes,3,Assured Returns,Television
Male,27,Yes,3,Assured Returns,Financial Consultants
Male,29,Yes,3,Assured Returns,Newspapers and Magazines
Male,26,Yes,3,Assured Returns,Newspapers and Magazines
Male,29,Yes,2,Assured Returns,Financial Consultants
Female,24,Yes,2,Assured Returns,Newspapers and Magazines
Male,27,Yes,3,Assured Returns,Financial Consultants
Male,25,Yes,2,Assured Returns,Financial Consultants
Female,26,Yes,2,Assured Returns,Newspapers and Magazines
Female,32,Yes,3,Assured Returns,Financial Consultants
Male,26,Yes,3,Assured Returns,Financial Consultants
Male,31,Yes,2,Safe Investment,Television
Male,29,Yes,2,Assured Returns,Television
Female,34,Yes,5,Safe Investment,Newspapers and Magazines
Male,27,Yes,4,Safe Investment,Television
Female,31,Yes,2,Assured Returns,Financial Consultants
Male,27,Yes,2,Assured Returns,Newspapers and Magazines
Male,26,Yes,2,Safe Investment,Newspapers and Magazines
Male,27,Yes,2,Safe Investment,Financial Consultants
Male,30,Yes,1,Assured Returns,Financial Consultants
Male,30,Yes,2,Assured Returns,Newspapers and Magazines
Male,25,Yes,5,Safe Investment,Financial Consultants
Male,31,Yes,2,Assured Returns,Newspapers and Magazines
Male,29,Yes,4,Safe Investment,Financial Consultants
